"","date","categories","count","text"
"168",2020-04-14,"cumulative_total_deaths",135667,"deaths Count: 135,667 
Date: 2020-04-14"
"169",2020-04-15,"cumulative_total_cases",2210243,"cases Count: 2,210,243 
Date: 2020-04-15"
"170",2020-04-15,"cumulative_total_deaths",144152,"deaths Count: 144,152 
Date: 2020-04-15"
"171",2020-04-16,"cumulative_total_cases",2297899,"cases Count: 2,297,899 
Date: 2020-04-16"
"172",2020-04-16,"cumulative_total_deaths",151390,"deaths Count: 151,390 
Date: 2020-04-16"
"173",2020-04-17,"cumulative_total_cases",2388541,"cases Count: 2,388,541 
Date: 2020-04-17"
"174",2020-04-17,"cumulative_total_deaths",160320,"deaths Count: 160,320 
Date: 2020-04-17"
"175",2020-04-18,"cumulative_total_cases",2473811,"cases Count: 2,473,811 
Date: 2020-04-18"
"176",2020-04-18,"cumulative_total_deaths",167375,"deaths Count: 167,375 
Date: 2020-04-18"
"177",2020-04-19,"cumulative_total_cases",2552927,"cases Count: 2,552,927 
Date: 2020-04-19"
"178",2020-04-19,"cumulative_total_deaths",172836,"deaths Count: 172,836 
Date: 2020-04-19"
"179",2020-04-20,"cumulative_total_cases",2635960,"cases Count: 2,635,960 
Date: 2020-04-20"
"180",2020-04-20,"cumulative_total_deaths",179019,"deaths Count: 179,019 
Date: 2020-04-20"
"181",2020-04-21,"cumulative_total_cases",2718069,"cases Count: 2,718,069 
Date: 2020-04-21"
"182",2020-04-21,"cumulative_total_deaths",186792,"deaths Count: 186,792 
Date: 2020-04-21"
"183",2020-04-22,"cumulative_total_cases",2802580,"cases Count: 2,802,580 
Date: 2020-04-22"
"184",2020-04-22,"cumulative_total_deaths",193874,"deaths Count: 193,874 
Date: 2020-04-22"
"185",2020-04-23,"cumulative_total_cases",2891375,"cases Count: 2,891,375 
Date: 2020-04-23"
"186",2020-04-23,"cumulative_total_deaths",201143,"deaths Count: 201,143 
Date: 2020-04-23"
"187",2020-04-24,"cumulative_total_cases",2988590,"cases Count: 2,988,590 
Date: 2020-04-24"
"188",2020-04-24,"cumulative_total_deaths",208047,"deaths Count: 208,047 
Date: 2020-04-24"
"189",2020-04-25,"cumulative_total_cases",3080187,"cases Count: 3,080,187 
Date: 2020-04-25"
"190",2020-04-25,"cumulative_total_deaths",214844,"deaths Count: 214,844 
Date: 2020-04-25"
"191",2020-04-26,"cumulative_total_cases",3155943,"cases Count: 3,155,943 
Date: 2020-04-26"
"192",2020-04-26,"cumulative_total_deaths",219432,"deaths Count: 219,432 
Date: 2020-04-26"
"193",2020-04-27,"cumulative_total_cases",3227465,"cases Count: 3,227,465 
Date: 2020-04-27"
"194",2020-04-27,"cumulative_total_deaths",224714,"deaths Count: 224,714 
Date: 2020-04-27"
"195",2020-04-28,"cumulative_total_cases",3306579,"cases Count: 3,306,579 
Date: 2020-04-28"
"196",2020-04-28,"cumulative_total_deaths",232198,"deaths Count: 232,198 
Date: 2020-04-28"
"197",2020-04-29,"cumulative_total_cases",3395501,"cases Count: 3,395,501 
Date: 2020-04-29"
"198",2020-04-29,"cumulative_total_deaths",239750,"deaths Count: 239,750 
Date: 2020-04-29"
"199",2020-04-30,"cumulative_total_cases",3484387,"cases Count: 3,484,387 
Date: 2020-04-30"
"200",2020-04-30,"cumulative_total_deaths",246212,"deaths Count: 246,212 
Date: 2020-04-30"
"201",2020-05-01,"cumulative_total_cases",3579832,"cases Count: 3,579,832 
Date: 2020-05-01"
"202",2020-05-01,"cumulative_total_deaths",252912,"deaths Count: 252,912 
Date: 2020-05-01"
"203",2020-05-02,"cumulative_total_cases",3662765,"cases Count: 3,662,765 
Date: 2020-05-02"
"204",2020-05-02,"cumulative_total_deaths",259287,"deaths Count: 259,287 
Date: 2020-05-02"
"205",2020-05-03,"cumulative_total_cases",3745289,"cases Count: 3,745,289 
Date: 2020-05-03"
"206",2020-05-03,"cumulative_total_deaths",263892,"deaths Count: 263,892 
Date: 2020-05-03"
"207",2020-05-04,"cumulative_total_cases",3826800,"cases Count: 3,826,800 
Date: 2020-05-04"
"208",2020-05-04,"cumulative_total_deaths",269235,"deaths Count: 269,235 
Date: 2020-05-04"
"209",2020-05-05,"cumulative_total_cases",3911036,"cases Count: 3,911,036 
Date: 2020-05-05"
"210",2020-05-05,"cumulative_total_deaths",275952,"deaths Count: 275,952 
Date: 2020-05-05"
"211",2020-05-06,"cumulative_total_cases",4008140,"cases Count: 4,008,140 
Date: 2020-05-06"
"212",2020-05-06,"cumulative_total_deaths",283400,"deaths Count: 283,400 
Date: 2020-05-06"
"213",2020-05-07,"cumulative_total_cases",4105185,"cases Count: 4,105,185 
Date: 2020-05-07"
"214",2020-05-07,"cumulative_total_deaths",289867,"deaths Count: 289,867 
Date: 2020-05-07"
"215",2020-05-08,"cumulative_total_cases",4202378,"cases Count: 4,202,378 
Date: 2020-05-08"
"216",2020-05-08,"cumulative_total_deaths",296076,"deaths Count: 296,076 
Date: 2020-05-08"
"217",2020-05-09,"cumulative_total_cases",4291248,"cases Count: 4,291,248 
Date: 2020-05-09"
"218",2020-05-09,"cumulative_total_deaths",301586,"deaths Count: 301,586 
Date: 2020-05-09"
"219",2020-05-10,"cumulative_total_cases",4371963,"cases Count: 4,371,963 
Date: 2020-05-10"
"220",2020-05-10,"cumulative_total_deaths",306754,"deaths Count: 306,754 
Date: 2020-05-10"
"221",2020-05-11,"cumulative_total_cases",4445697,"cases Count: 4,445,697 
Date: 2020-05-11"
"222",2020-05-11,"cumulative_total_deaths",311382,"deaths Count: 311,382 
Date: 2020-05-11"
"223",2020-05-12,"cumulative_total_cases",4535090,"cases Count: 4,535,090 
Date: 2020-05-12"
"224",2020-05-12,"cumulative_total_deaths",317861,"deaths Count: 317,861 
Date: 2020-05-12"
"225",2020-05-13,"cumulative_total_cases",4627650,"cases Count: 4,627,650 
Date: 2020-05-13"
"226",2020-05-13,"cumulative_total_deaths",323835,"deaths Count: 323,835 
Date: 2020-05-13"
"227",2020-05-14,"cumulative_total_cases",4726019,"cases Count: 4,726,019 
Date: 2020-05-14"
